record,year,band,node,collocate,register,title
10.1016/j.eswa.2020.113449,2020,Neural turn (2018-2022),conversation,feedback,instrumental,A conversational recommender system for diagnosis using fuzzy rules
10.2991/ijcis.d.200806.001,2020,Neural turn (2018-2022),conversational,preference,instrumental,A formal concept analysis approach to cooperative conversational recommendation
10.1145/3340531.3412094,2020,Neural turn (2018-2022),interaction,feedback,instrumental,An Empirical Study on Clarifying Question-Based Systems
10.1145/3394592,2020,Neural turn (2018-2022),conversational,learning,instrumental,CRSAL: Conversational recommender systems with adversarial learning
10.1145/3394592,2020,Neural turn (2018-2022),conversational,learning,instrumental,CRSAL: Conversational recommender systems with adversarial learning
10.1145/3394592,2020,Neural turn (2018-2022),dialogue,capture,instrumental,CRSAL: Conversational recommender systems with adversarial learning
10.1145/3394592,2020,Neural turn (2018-2022),dialogue,intent,instrumental,CRSAL: Conversational recommender systems with adversarial learning
10.1016/j.datak.2020.101813,2020,Neural turn (2018-2022),interaction,model,instrumental,Computational model for generating interactions in conversational recommender sy
10.1016/j.datak.2020.101813,2020,Neural turn (2018-2022),conversational,model,instrumental,Computational model for generating interactions in conversational recommender sy
10.1016/j.datak.2020.101813,2020,Neural turn (2018-2022),interaction,model,instrumental,Computational model for generating interactions in conversational recommender sy
10.1016/j.datak.2020.101813,2020,Neural turn (2018-2022),interaction,feature,instrumental,Computational model for generating interactions in conversational recommender sy
10.1016/j.datak.2020.101813,2020,Neural turn (2018-2022),interaction,model,instrumental,Computational model for generating interactions in conversational recommender sy
10.1016/j.datak.2020.101813,2020,Neural turn (2018-2022),interaction,model,instrumental,Computational model for generating interactions in conversational recommender sy
10.1016/j.datak.2020.101813,2020,Neural turn (2018-2022),interaction,model,instrumental,Computational model for generating interactions in conversational recommender sy
10.1016/j.datak.2020.101813,2020,Neural turn (2018-2022),interaction,model,instrumental,Computational model for generating interactions in conversational recommender sy
10.1016/j.datak.2020.101813,2020,Neural turn (2018-2022),interaction,model,instrumental,Computational model for generating interactions in conversational recommender sy
10.1016/j.datak.2020.101813,2020,Neural turn (2018-2022),interaction,model,instrumental,Computational model for generating interactions in conversational recommender sy
10.1016/j.datak.2020.101813,2020,Neural turn (2018-2022),interaction,model,instrumental,Computational model for generating interactions in conversational recommender sy
10.1016/j.datak.2020.101813,2020,Neural turn (2018-2022),interaction,model,instrumental,Computational model for generating interactions in conversational recommender sy
10.1016/j.datak.2020.101813,2020,Neural turn (2018-2022),interaction,feature,instrumental,Computational model for generating interactions in conversational recommender sy
10.1145/3383313.3411453,2020,Neural turn (2018-2022),conversational,model,instrumental,Conversational Agents for Recommender Systems
10.1145/3383313.3411453,2020,Neural turn (2018-2022),dialogue,profile,instrumental,Conversational Agents for Recommender Systems
10.1145/3383313.3411453,2020,Neural turn (2018-2022),dialogue,elicit,instrumental,Conversational Agents for Recommender Systems
10.1145/3383313.3411453,2020,Neural turn (2018-2022),dialogue,extract,instrumental,Conversational Agents for Recommender Systems
10.1145/3397271.3401419,2020,Neural turn (2018-2022),interaction,preference,instrumental,"Conversational Recommendation: Formulation, Methods, and Evaluation"
10.1145/3397271.3401419,2020,Neural turn (2018-2022),conversational,preference,instrumental,"Conversational Recommendation: Formulation, Methods, and Evaluation"
10.1145/3397271.3401419,2020,Neural turn (2018-2022),conversational,attribute,instrumental,"Conversational Recommendation: Formulation, Methods, and Evaluation"
10.1007/978-3-030-58449-8_14,2020,Neural turn (2018-2022),conversational,feature,instrumental,Conversational Recommender System by Bayesian Methods
10.1007/978-3-030-58449-8_14,2020,Neural turn (2018-2022),interaction,model,instrumental,Conversational Recommender System by Bayesian Methods
10.1007/978-3-030-58811-3_7,2020,Neural turn (2018-2022),dialogue,preference,instrumental,DECiSION: Data-drivEn Customer Service InnovatiON
10.1145/3336191.3371769,2020,Neural turn (2018-2022),conversational,preference,instrumental,Estimation–Action–Reflection: Towards deep interaction between conversational an
10.1145/3336191.3371769,2020,Neural turn (2018-2022),conversational,model,instrumental,Estimation–Action–Reflection: Towards deep interaction between conversational an
10.1145/3336191.3371769,2020,Neural turn (2018-2022),dialogue,attribute,instrumental,Estimation–Action–Reflection: Towards deep interaction between conversational an
10.1145/3336191.3371769,2020,Neural turn (2018-2022),dialogue,learn,instrumental,Estimation–Action–Reflection: Towards deep interaction between conversational an
10.1145/3336191.3371769,2020,Neural turn (2018-2022),dialogue,policy,instrumental,Estimation–Action–Reflection: Towards deep interaction between conversational an
10.1145/3336191.3371769,2020,Neural turn (2018-2022),dialogue,attribute,instrumental,Estimation–Action–Reflection: Towards deep interaction between conversational an
10.1145/3394486.3403202,2020,Neural turn (2018-2022),conversational,simulation,instrumental,Evaluating Conversational Recommender Systems via User Simulation
10.1145/3394486.3403202,2020,Neural turn (2018-2022),conversational,simulation,instrumental,Evaluating Conversational Recommender Systems via User Simulation
10.1145/3394486.3403202,2020,Neural turn (2018-2022),interaction,preference,instrumental,Evaluating Conversational Recommender Systems via User Simulation
10.1145/3394486.3403202,2020,Neural turn (2018-2022),interaction,simulation,instrumental,Evaluating Conversational Recommender Systems via User Simulation
10.1145/3394486.3403202,2020,Neural turn (2018-2022),conversational,preference,instrumental,Evaluating Conversational Recommender Systems via User Simulation
10.1145/3394486.3403202,2020,Neural turn (2018-2022),conversational,modeling,instrumental,Evaluating Conversational Recommender Systems via User Simulation
10.1145/3394486.3403202,2020,Neural turn (2018-2022),interaction,preference,instrumental,Evaluating Conversational Recommender Systems via User Simulation
10.1145/3394486.3403202,2020,Neural turn (2018-2022),interaction,modeling,instrumental,Evaluating Conversational Recommender Systems via User Simulation
10.1145/3394486.3403202,2020,Neural turn (2018-2022),interaction,model,instrumental,Evaluating Conversational Recommender Systems via User Simulation
10.1145/3394486.3403202,2020,Neural turn (2018-2022),interaction,simulation,instrumental,Evaluating Conversational Recommender Systems via User Simulation
10.1145/3340531.3417433,2020,Neural turn (2018-2022),conversation,model,instrumental,IAI MovieBot: A Conversational Movie Recommender System
10.1145/3340531.3417433,2020,Neural turn (2018-2022),conversational,feature,instrumental,IAI MovieBot: A Conversational Movie Recommender System
10.1145/3340531.3417433,2020,Neural turn (2018-2022),dialogue,feature,instrumental,IAI MovieBot: A Conversational Movie Recommender System
10.1145/3394486.3403258,2020,Neural turn (2018-2022),interaction,preference,instrumental,Interactive Path Reasoning on Graph for Conversational Recommendation
10.1145/3394486.3403258,2020,Neural turn (2018-2022),conversational,preference,instrumental,Interactive Path Reasoning on Graph for Conversational Recommendation
10.1145/3394486.3403258,2020,Neural turn (2018-2022),conversational,representation,instrumental,Interactive Path Reasoning on Graph for Conversational Recommendation
10.1145/3394486.3403258,2020,Neural turn (2018-2022),conversational,model,instrumental,Interactive Path Reasoning on Graph for Conversational Recommendation
10.1145/3394486.3403258,2020,Neural turn (2018-2022),interactive,model,instrumental,Interactive Path Reasoning on Graph for Conversational Recommendation
10.1145/3366423.3380003,2020,Neural turn (2018-2022),interaction,feedback,instrumental,Latent Linear Critiquing for Conversational Recommender Systems
10.1145/3340531.3412098,2020,Neural turn (2018-2022),interaction,data,instrumental,Leveraging Historical Interaction Data for Improving Conversational Recommender 
10.1145/3340531.3412098,2020,Neural turn (2018-2022),conversational,data,instrumental,Leveraging Historical Interaction Data for Improving Conversational Recommender 
10.1145/3340531.3412098,2020,Neural turn (2018-2022),conversation,preference,instrumental,Leveraging Historical Interaction Data for Improving Conversational Recommender 
10.1145/3340531.3412098,2020,Neural turn (2018-2022),conversation,representation,instrumental,Leveraging Historical Interaction Data for Improving Conversational Recommender 
10.1145/3340531.3412098,2020,Neural turn (2018-2022),interaction,preference,instrumental,Leveraging Historical Interaction Data for Improving Conversational Recommender 
10.1145/3340531.3412098,2020,Neural turn (2018-2022),interaction,attribute,instrumental,Leveraging Historical Interaction Data for Improving Conversational Recommender 
10.1145/3340531.3412098,2020,Neural turn (2018-2022),interaction,preference,instrumental,Leveraging Historical Interaction Data for Improving Conversational Recommender 
10.1145/3340531.3412098,2020,Neural turn (2018-2022),conversation,attribute,instrumental,Leveraging Historical Interaction Data for Improving Conversational Recommender 
10.1145/3340531.3412098,2020,Neural turn (2018-2022),conversation,preference,instrumental,Leveraging Historical Interaction Data for Improving Conversational Recommender 
10.1145/3377325.3377496,2020,Neural turn (2018-2022),conversational,preference,instrumental,Navigation-by-preference: A new conversational recommender with preference-based
10.1145/3377325.3377496,2020,Neural turn (2018-2022),conversational,preference,instrumental,Navigation-by-preference: A new conversational recommender with preference-based
10.1145/3377325.3377496,2020,Neural turn (2018-2022),conversational,feedback,instrumental,Navigation-by-preference: A new conversational recommender with preference-based
10.1145/3377325.3377496,2020,Neural turn (2018-2022),conversational,preference,instrumental,Navigation-by-preference: A new conversational recommender with preference-based
10.1145/3377325.3377496,2020,Neural turn (2018-2022),dialog,preference,instrumental,Navigation-by-preference: A new conversational recommender with preference-based
10.1145/3377325.3377496,2020,Neural turn (2018-2022),dialog,feedback,instrumental,Navigation-by-preference: A new conversational recommender with preference-based
10.1145/3377325.3377496,2020,Neural turn (2018-2022),dialog,preference,instrumental,Navigation-by-preference: A new conversational recommender with preference-based
10.1145/3340631.3394856,2020,Neural turn (2018-2022),dialogue,predict,instrumental,Predicting User Intents and Satisfaction with Dialogue-based Conversational Reco
10.1145/3340631.3394856,2020,Neural turn (2018-2022),utterance,predict,instrumental,Predicting User Intents and Satisfaction with Dialogue-based Conversational Reco
10.1145/3340631.3394856,2020,Neural turn (2018-2022),utterance,intent,instrumental,Predicting User Intents and Satisfaction with Dialogue-based Conversational Reco
10.1145/3340631.3394856,2020,Neural turn (2018-2022),dialogue,preference,instrumental,Predicting User Intents and Satisfaction with Dialogue-based Conversational Reco
10.1145/3340631.3394856,2020,Neural turn (2018-2022),dialogue,model,instrumental,Predicting User Intents and Satisfaction with Dialogue-based Conversational Reco
10.1145/3340631.3394856,2020,Neural turn (2018-2022),dialogue,feature,instrumental,Predicting User Intents and Satisfaction with Dialogue-based Conversational Reco
Towards explainable conversational recommendation,2020,Neural turn (2018-2022),conversation,model,instrumental,Towards explainable conversational recommendation
10.1145/3383313.3412249,2020,Neural turn (2018-2022),conversational,learn,instrumental,"What does BERT know about books, movies and music? Probing BERT for Conversation"
10.1145/3383313.3412249,2020,Neural turn (2018-2022),interaction,rating,instrumental,"What does BERT know about books, movies and music? Probing BERT for Conversation"
10.1145/3442381.3450123,2021,Neural turn (2018-2022),interaction,intent,instrumental,A workflow analysis of context-driven conversational recommendation
10.1145/3442381.3450123,2021,Neural turn (2018-2022),conversational,intent,instrumental,A workflow analysis of context-driven conversational recommendation
10.1145/3442381.3450123,2021,Neural turn (2018-2022),interaction,preference,instrumental,A workflow analysis of context-driven conversational recommendation
10.1145/3442381.3450123,2021,Neural turn (2018-2022),interaction,elicitation,instrumental,A workflow analysis of context-driven conversational recommendation
10.1145/3442381.3450123,2021,Neural turn (2018-2022),interaction,intent,instrumental,A workflow analysis of context-driven conversational recommendation
10.1145/3442381.3450123,2021,Neural turn (2018-2022),conversational,preference,instrumental,A workflow analysis of context-driven conversational recommendation
10.1145/3442381.3450123,2021,Neural turn (2018-2022),conversational,elicitation,instrumental,A workflow analysis of context-driven conversational recommendation
10.1145/3437963.3441791,2021,Neural turn (2018-2022),conversational,feedback,instrumental,Adapting User Preference to Online Feedback in Multi-round Conversational Recomm
10.1145/3437963.3441791,2021,Neural turn (2018-2022),conversational,preference,instrumental,Adapting User Preference to Online Feedback in Multi-round Conversational Recomm
10.1016/j.aiopen.2021.06.002,2021,Neural turn (2018-2022),interaction,preference,instrumental,Advances and challenges in conversational recommender systems: A survey
10.1016/j.aiopen.2021.06.002,2021,Neural turn (2018-2022),conversational,feedback,instrumental,Advances and challenges in conversational recommender systems: A survey
10.1016/j.aiopen.2021.06.002,2021,Neural turn (2018-2022),conversational,preference,instrumental,Advances and challenges in conversational recommender systems: A survey
10.1016/j.aiopen.2021.06.002,2021,Neural turn (2018-2022),conversational,elicitation,instrumental,Advances and challenges in conversational recommender systems: A survey
10.1109/FIE49875.2021.9637342,2021,Neural turn (2018-2022),interactive,model,instrumental,An Architecture Model of Recommender System for Pedagogical Design Patterns
10.1145/3459637.3482328,2021,Neural turn (2018-2022),conversational,preference,instrumental,Clustering of Conversational Bandits for User Preference Learning and Elicitatio
10.1145/3459637.3482328,2021,Neural turn (2018-2022),conversational,learning,instrumental,Clustering of Conversational Bandits for User Preference Learning and Elicitatio
10.1145/3459637.3482328,2021,Neural turn (2018-2022),conversational,preference,instrumental,Clustering of Conversational Bandits for User Preference Learning and Elicitatio
10.1145/3459637.3482328,2021,Neural turn (2018-2022),conversational,learning,instrumental,Clustering of Conversational Bandits for User Preference Learning and Elicitatio
10.1145/3459637.3482328,2021,Neural turn (2018-2022),conversational,elicitation,instrumental,Clustering of Conversational Bandits for User Preference Learning and Elicitatio
10.1145/3459637.3482328,2021,Neural turn (2018-2022),conversational,elicit,instrumental,Clustering of Conversational Bandits for User Preference Learning and Elicitatio
10.1145/3459637.3482328,2021,Neural turn (2018-2022),interactive,elicit,instrumental,Clustering of Conversational Bandits for User Preference Learning and Elicitatio
10.1145/3459637.3482328,2021,Neural turn (2018-2022),interactive,preference,instrumental,Clustering of Conversational Bandits for User Preference Learning and Elicitatio
10.1145/3459637.3482328,2021,Neural turn (2018-2022),conversational,elicit,instrumental,Clustering of Conversational Bandits for User Preference Learning and Elicitatio
10.1145/3459637.3482328,2021,Neural turn (2018-2022),conversational,preference,instrumental,Clustering of Conversational Bandits for User Preference Learning and Elicitatio
10.1145/3459637.3482328,2021,Neural turn (2018-2022),interaction,preference,instrumental,Clustering of Conversational Bandits for User Preference Learning and Elicitatio
10.1145/3459637.3482328,2021,Neural turn (2018-2022),conversational,elicit,instrumental,Clustering of Conversational Bandits for User Preference Learning and Elicitatio
10.1145/3459637.3482328,2021,Neural turn (2018-2022),conversational,learning,instrumental,Clustering of Conversational Bandits for User Preference Learning and Elicitatio
10.1145/3404835.3462920,2021,Neural turn (2018-2022),conversational,feedback,instrumental,Comparison-based Conversational Recommender System with Relative Bandit Feedback
10.1145/3404835.3462920,2021,Neural turn (2018-2022),conversational,elicit,instrumental,Comparison-based Conversational Recommender System with Relative Bandit Feedback
10.1145/3404835.3462920,2021,Neural turn (2018-2022),conversational,preference,instrumental,Comparison-based Conversational Recommender System with Relative Bandit Feedback
10.1145/3404835.3462920,2021,Neural turn (2018-2022),interaction,elicit,instrumental,Comparison-based Conversational Recommender System with Relative Bandit Feedback
10.1145/3404835.3462920,2021,Neural turn (2018-2022),interaction,preference,instrumental,Comparison-based Conversational Recommender System with Relative Bandit Feedback
10.1145/3404835.3462920,2021,Neural turn (2018-2022),interaction,query,instrumental,Comparison-based Conversational Recommender System with Relative Bandit Feedback
10.1145/3404835.3462920,2021,Neural turn (2018-2022),conversational,attribute,instrumental,Comparison-based Conversational Recommender System with Relative Bandit Feedback
10.1145/3404835.3462920,2021,Neural turn (2018-2022),conversational,feedback,instrumental,Comparison-based Conversational Recommender System with Relative Bandit Feedback
10.1145/3404835.3462920,2021,Neural turn (2018-2022),conversational,preference,instrumental,Comparison-based Conversational Recommender System with Relative Bandit Feedback
10.1145/3404835.3462920,2021,Neural turn (2018-2022),interaction,preference,instrumental,Comparison-based Conversational Recommender System with Relative Bandit Feedback
10.1145/3404835.3462920,2021,Neural turn (2018-2022),conversational,feedback,instrumental,Comparison-based Conversational Recommender System with Relative Bandit Feedback
10.1145/3404835.3462920,2021,Neural turn (2018-2022),interactive,feedback,instrumental,Comparison-based Conversational Recommender System with Relative Bandit Feedback
10.1007/978-3-030-73200-4_8,2021,Neural turn (2018-2022),dialogue,capture,instrumental,Considering Interaction Sequence of Historical Items for Conversational Recommen
10.1007/978-3-030-73200-4_8,2021,Neural turn (2018-2022),interaction,capture,instrumental,Considering Interaction Sequence of Historical Items for Conversational Recommen
10.1142/S0218194021500510,2021,Neural turn (2018-2022),conversational,model,instrumental,Context-aware conversational recommendation of trigger-action rules in IoT progr
10.1007/978-3-030-74296-6_17,2021,Neural turn (2018-2022),dialog,capture,instrumental,Conversation and Recommendation: Knowledge-Enhanced Personalized Dialog System
10.1007/978-3-030-74296-6_17,2021,Neural turn (2018-2022),interactive,capture,instrumental,Conversation and Recommendation: Knowledge-Enhanced Personalized Dialog System
10.1007/978-3-030-74296-6_17,2021,Neural turn (2018-2022),dialog,model,instrumental,Conversation and Recommendation: Knowledge-Enhanced Personalized Dialog System
10.1007/978-3-030-74296-6_17,2021,Neural turn (2018-2022),dialog,model,instrumental,Conversation and Recommendation: Knowledge-Enhanced Personalized Dialog System
10.1016/j.chbr.2021.100139,2021,Neural turn (2018-2022),conversational,learning,instrumental,Conversational recommendation based on end-to-end learning: How far are we?
10.1145/3411763.3451596,2021,Neural turn (2018-2022),dialog,preference,instrumental,Developing a Conversational Recommendation Systemfor Navigating Limited Options
10.1109/IJCNN52387.2021.9534295,2021,Neural turn (2018-2022),conversational,preference,instrumental,Employer-Employee Network for Conversational Recommendation
10.1145/3460231.3474249,2021,Neural turn (2018-2022),conversation,optimize,instrumental,Fast multi-step critiquing for VAE-based recommender systems
10.1145/3460231.3475942,2021,Neural turn (2018-2022),dialog,model,instrumental,Generation-based vs. retrieval-based conversational recommendation: A user-centr
10.1145/3460231.3475942,2021,Neural turn (2018-2022),utterance,learning,instrumental,Generation-based vs. retrieval-based conversational recommendation: A user-centr
10.1145/3404835.3463247,2021,Neural turn (2018-2022),conversational,simulate,instrumental,HOOPS: Human-in-the-Loop Graph Reasoning for Conversational Recommendation
10.1109/ICDE51399.2021.00291,2021,Neural turn (2018-2022),interaction,prediction,instrumental,Improving conversational recommender system by pretraining billion-scale knowled
10.1109/ICDE51399.2021.00291,2021,Neural turn (2018-2022),dialogue,representation,instrumental,Improving conversational recommender system by pretraining billion-scale knowled
10.1109/ICDE51399.2021.00291,2021,Neural turn (2018-2022),interaction,representation,instrumental,Improving conversational recommender system by pretraining billion-scale knowled
10.1109/ICDE51399.2021.00291,2021,Neural turn (2018-2022),dialogue,representation,instrumental,Improving conversational recommender system by pretraining billion-scale knowled
10.1109/ICDE51399.2021.00291,2021,Neural turn (2018-2022),dialogue,representation,instrumental,Improving conversational recommender system by pretraining billion-scale knowled
10.1109/ICDE51399.2021.00291,2021,Neural turn (2018-2022),dialogue,feature,instrumental,Improving conversational recommender system by pretraining billion-scale knowled
10.1109/ICDE51399.2021.00291,2021,Neural turn (2018-2022),interaction,representation,instrumental,Improving conversational recommender system by pretraining billion-scale knowled
10.1109/ICDE51399.2021.00291,2021,Neural turn (2018-2022),interaction,representation,instrumental,Improving conversational recommender system by pretraining billion-scale knowled
10.1109/ICDE51399.2021.00291,2021,Neural turn (2018-2022),interaction,feature,instrumental,Improving conversational recommender system by pretraining billion-scale knowled
10.1109/ICDE51399.2021.00291,2021,Neural turn (2018-2022),interaction,representation,instrumental,Improving conversational recommender system by pretraining billion-scale knowled
10.1145/3412841.3442013,2021,Neural turn (2018-2022),conversational,preference,instrumental,Improving preference elicitation in a conversational recommender system with act
10.1145/3412841.3442013,2021,Neural turn (2018-2022),conversational,elicitation,instrumental,Improving preference elicitation in a conversational recommender system with act
10.1145/3412841.3442013,2021,Neural turn (2018-2022),conversational,learning,instrumental,Improving preference elicitation in a conversational recommender system with act
10.1145/3412841.3442013,2021,Neural turn (2018-2022),conversational,learning,instrumental,Improving preference elicitation in a conversational recommender system with act
